================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (0.020s)
OurPlayer (x): e4 (5.025s)
DynamicPlayer (o): d5 (16.765s)
OurPlayer (x): c2 (4.983s)
DynamicPlayer (o): b3 (44.292s)
OurPlayer (x): d1 (4.834s)
DynamicPlayer (o): b2 (66.647s)
OurPlayer (x): b4 (4.617s)
DynamicPlayer (o): e5 (8.828s)
OurPlayer (x): d6 (4.600s)
DynamicPlayer (o): c5 (20.429s)
OurPlayer (x): c6 (4.465s)
DynamicPlayer (o): e6 (15.378s)
OurPlayer (x): b5 (4.363s)
DynamicPlayer (o): f3 (7.572s)
OurPlayer (x): a4 (4.155s)
DynamicPlayer (o): a2 (2.753s)
OurPlayer (x): a3 (4.014s)
DynamicPlayer (o): a6 (0.714s)
OurPlayer (x): f6 (0.001s)
DynamicPlayer (o): a5 (0.337s)
OurPlayer (x): b6 (0.001s)
DynamicPlayer (o): e3 (0.089s)
OurPlayer (x): a1 (0.021s)
DynamicPlayer (o): e1 (0.020s)
OurPlayer (x): f1 (0.000s)
DynamicPlayer (o): f5 (0.004s)
OurPlayer (x): f4 (0.001s)
DynamicPlayer (o): b1 (0.001s)
OurPlayer (x): e2 (0.000s)
DynamicPlayer (o): f2 (0.000s)
OurPlayer (x): c1 (0.000s)
対局終了 スコア: -12
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.877s)
DynamicPlayer (x): e2 (0.001s)
OurPlayer (o): e3 (4.657s)
DynamicPlayer (x): c2 (4.519s)
OurPlayer (o): b4 (4.640s)
DynamicPlayer (x): f3 (24.495s)
OurPlayer (o): c1 (4.425s)
DynamicPlayer (x): d5 (11.348s)
OurPlayer (o): e4 (4.390s)
DynamicPlayer (x): c5 (10.656s)
OurPlayer (o): d6 (4.209s)
DynamicPlayer (x): b6 (15.618s)
OurPlayer (o): e5 (4.086s)
DynamicPlayer (x): b3 (7.265s)
OurPlayer (o): c6 (4.011s)
DynamicPlayer (x): f6 (3.168s)
OurPlayer (o): d1 (3.855s)
DynamicPlayer (x): e6 (1.864s)
OurPlayer (o): f1 (17.643s)
DynamicPlayer (x): a3 (0.528s)
OurPlayer (o): a5 (0.075s)
DynamicPlayer (x): a4 (0.178s)
OurPlayer (o): a2 (0.005s)
DynamicPlayer (x): b2 (0.011s)
OurPlayer (o): b5 (0.001s)
DynamicPlayer (x): f2 (0.004s)
OurPlayer (o): e1 (0.000s)
DynamicPlayer (x): f5 (0.000s)
OurPlayer (o): a1 (0.000s)
