================================================
=== 対戦ログ開始 (1ラウンド) ===
DynamicPlayer (o): a5 (0.054s)
OurPlayer (x): e2 (0.001s)
DynamicPlayer (o): f1 (0.049s)
OurPlayer (x): a3 (0.001s)
DynamicPlayer (o): a1 (0.007s)
OurPlayer (x): a6 (0.000s)
DynamicPlayer (o): e5 (0.001s)
OurPlayer (x): f2 (0.000s)
DynamicPlayer (o): b5 (0.000s)
OurPlayer (x): e6 (0.000s)
DynamicPlayer (o): f5 (0.000s)
OurPlayer (x): f6 (0.000s)
対局終了 スコア: -6
--------------------------------------------------
R1-変形盤2-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): c5 (5.060s)
DynamicPlayer (x): b5 (0.001s)
OurPlayer (o): b4 (4.846s)
DynamicPlayer (x): b3 (4.620s)
OurPlayer (o): d2 (4.814s)
DynamicPlayer (x): e2 (8.439s)
OurPlayer (o): c2 (4.611s)
DynamicPlayer (x): e4 (8.869s)
OurPlayer (o): d5 (4.596s)
DynamicPlayer (x): e3 (9.686s)
OurPlayer (o): f3 (4.478s)
DynamicPlayer (x): e6 (12.170s)
OurPlayer (o): c6 (4.393s)
DynamicPlayer (x): c1 (3.903s)
OurPlayer (o): f2 (4.168s)
DynamicPlayer (x): f5 (1.441s)
OurPlayer (o): a2 (1.261s)
DynamicPlayer (x): a3 (0.199s)
OurPlayer (o): f1 (0.001s)
DynamicPlayer (x): f4 (0.293s)
OurPlayer (o): f6 (0.001s)
DynamicPlayer (x): d6 (0.049s)
OurPlayer (o): a6 (0.001s)
DynamicPlayer (x): b6 (0.004s)
OurPlayer (o): e5 (0.001s)
DynamicPlayer (x): a1 (0.000s)
OurPlayer (o): b2 (0.000s)
DynamicPlayer (x): d1 (0.000s)
OurPlayer (o): a5 (0.000s)
DynamicPlayer (x): a4 (0.000s)
対局終了 スコア: 4
--------------------------------------------------
================================================
