================================================
=== 対戦ログ開始 (1ラウンド) ===
OurPlayer (x): a4 (0.255s)
DynamicPlayer (o): f3 (0.232s)
OurPlayer (x): f1 (0.041s)
DynamicPlayer (o): a5 (0.084s)
OurPlayer (x): f2 (0.000s)
DynamicPlayer (o): b6 (0.009s)
OurPlayer (x): a6 (0.001s)
DynamicPlayer (o): e6 (0.000s)
OurPlayer (x): d6 (0.000s)
DynamicPlayer (o): f5 (0.000s)
OurPlayer (x): e5 (0.000s)
DynamicPlayer (o): f6 (0.000s)
対局終了 スコア: 5
--------------------------------------------------
R1-変形盤2-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): c5 (4.992s)
DynamicPlayer (x): b5 (0.000s)
OurPlayer (o): b4 (4.960s)
DynamicPlayer (x): b3 (6.212s)
OurPlayer (o): a2 (4.878s)
DynamicPlayer (x): c6 (12.851s)
OurPlayer (o): e3 (4.745s)
DynamicPlayer (x): e4 (12.044s)
OurPlayer (o): d5 (4.536s)
DynamicPlayer (x): e2 (22.049s)
OurPlayer (o): d2 (4.486s)
DynamicPlayer (x): a3 (14.624s)
OurPlayer (o): a4 (4.344s)
DynamicPlayer (x): e6 (10.085s)
OurPlayer (o): d6 (4.179s)
DynamicPlayer (x): e5 (2.686s)
OurPlayer (o): f6 (3.998s)
DynamicPlayer (x): d1 (1.329s)
OurPlayer (o): c2 (0.701s)
DynamicPlayer (x): b1 (0.329s)
OurPlayer (o): f3 (0.216s)
DynamicPlayer (x): f4 (0.076s)
OurPlayer (o): c1 (0.000s)
DynamicPlayer (x): b2 (0.025s)
OurPlayer (o): f2 (0.000s)
DynamicPlayer (x): f1 (0.001s)
OurPlayer (o): e1 (0.001s)
DynamicPlayer (x): f5 (0.000s)
OurPlayer (o): b6 (0.000s)
DynamicPlayer (x): a6 (0.000s)
OurPlayer (o): a5 (0.000s)
対局終了 スコア: 9
--------------------------------------------------
================================================
