================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (7.415s)
OurPlayer (x): e4 (4.921s)
DynamicPlayer (o): d5 (6.787s)
OurPlayer (x): c2 (4.959s)
DynamicPlayer (o): b3 (6.420s)
OurPlayer (x): d1 (4.808s)
DynamicPlayer (o): e3 (5.821s)
OurPlayer (x): f4 (4.650s)
DynamicPlayer (o): c1 (5.396s)
OurPlayer (x): b1 (4.641s)
DynamicPlayer (o): f2 (4.803s)
OurPlayer (x): a3 (4.492s)
DynamicPlayer (o): e2 (4.278s)
OurPlayer (x): d6 (4.308s)
DynamicPlayer (o): e6 (3.842s)
OurPlayer (x): f6 (4.170s)
DynamicPlayer (o): c5 (3.332s)
OurPlayer (x): e5 (4.030s)
DynamicPlayer (o): f5 (2.831s)
OurPlayer (x): c6 (0.001s)
DynamicPlayer (o): b5 (1.031s)
OurPlayer (x): f3 (0.001s)
DynamicPlayer (o): f1 (0.129s)
OurPlayer (x): a4 (0.000s)
DynamicPlayer (o): a6 (0.050s)
OurPlayer (x): b6 (0.001s)
DynamicPlayer (o): b2 (0.007s)
OurPlayer (x): a1 (0.001s)
DynamicPlayer (o): a2 (0.002s)
OurPlayer (x): b4 (0.000s)
DynamicPlayer (o): a5 (0.001s)
OurPlayer (x): e1 (0.000s)
対局終了 スコア: -4
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.820s)
DynamicPlayer (x): e4 (0.000s)
OurPlayer (o): c5 (4.583s)
DynamicPlayer (x): d1 (8.429s)
OurPlayer (o): f4 (4.692s)
DynamicPlayer (x): b3 (7.799s)
OurPlayer (o): c2 (4.529s)
DynamicPlayer (x): e3 (7.003s)
OurPlayer (o): c1 (4.333s)
DynamicPlayer (x): b1 (6.341s)
OurPlayer (o): a3 (4.276s)
DynamicPlayer (x): d5 (5.735s)
OurPlayer (o): e2 (4.128s)
DynamicPlayer (x): b2 (5.072s)
OurPlayer (o): c6 (4.003s)
DynamicPlayer (x): a4 (4.432s)
OurPlayer (o): a5 (3.848s)
DynamicPlayer (x): b4 (3.680s)
OurPlayer (o): b5 (0.801s)
DynamicPlayer (x): f5 (2.638s)
OurPlayer (o): f6 (0.000s)
DynamicPlayer (x): a6 (0.791s)
OurPlayer (o): e5 (0.031s)
DynamicPlayer (x): b6 (0.233s)
OurPlayer (o): a1 (0.007s)
DynamicPlayer (x): a2 (0.043s)
OurPlayer (o): e1 (0.000s)
DynamicPlayer (x): d6 (0.007s)
OurPlayer (o): .. (0.000s)
