================================================
=== 対戦ログ開始 (1ラウンド) ===
DynamicPlayer (o): b4 (0.305s)
OurPlayer (x): a4 (0.010s)
DynamicPlayer (o): a6 (0.035s)
OurPlayer (x): a2 (0.000s)
DynamicPlayer (o): f1 (0.023s)
OurPlayer (x): a5 (0.000s)
DynamicPlayer (o): b2 (0.002s)
OurPlayer (x): f2 (0.000s)
DynamicPlayer (o): a1 (0.001s)
OurPlayer (x): e6 (0.000s)
DynamicPlayer (o): d6 (0.000s)
対局終了 スコア: -1
--------------------------------------------------
R1-変形盤2-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): c5 (5.238s)
DynamicPlayer (x): b3 (0.000s)
OurPlayer (o): a2 (5.195s)
DynamicPlayer (x): c6 (6.925s)
OurPlayer (o): e3 (5.143s)
DynamicPlayer (x): e4 (5.228s)
OurPlayer (o): d5 (4.984s)
DynamicPlayer (x): b4 (8.411s)
OurPlayer (o): f3 (4.807s)
DynamicPlayer (x): d6 (7.561s)
OurPlayer (o): a4 (4.680s)
DynamicPlayer (x): c2 (3.043s)
OurPlayer (o): d2 (4.516s)
DynamicPlayer (x): d1 (2.462s)
OurPlayer (o): e5 (4.352s)
DynamicPlayer (x): f2 (0.782s)
OurPlayer (o): f1 (0.000s)
DynamicPlayer (x): f6 (0.481s)
OurPlayer (o): e2 (0.000s)
DynamicPlayer (x): b2 (0.214s)
OurPlayer (o): b5 (0.001s)
DynamicPlayer (x): f4 (0.108s)
OurPlayer (o): b1 (0.000s)
DynamicPlayer (x): a1 (0.010s)
OurPlayer (o): b6 (0.000s)
DynamicPlayer (x): a5 (0.001s)
OurPlayer (o): f5 (0.000s)
DynamicPlayer (x): a6 (0.000s)
OurPlayer (o): e6 (0.000s)
対局終了 スコア: 5
--------------------------------------------------
================================================
