================================================
=== 対戦ログ開始 (1ラウンド) ===
DynamicPlayer (o): f4 (0.290s)
OurPlayer (x): b2 (0.003s)
DynamicPlayer (o): a1 (0.043s)
OurPlayer (x): a2 (0.000s)
DynamicPlayer (o): b6 (0.005s)
OurPlayer (x): e5 (0.000s)
DynamicPlayer (o): f6 (0.000s)
OurPlayer (x): b3 (0.001s)
DynamicPlayer (o): d6 (0.000s)
OurPlayer (x): f5 (0.000s)
DynamicPlayer (o): .. (0.000s)
OurPlayer (x): e6 (0.000s)
対局終了 スコア: -7
--------------------------------------------------
R1-変形盤2-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): c5 (5.297s)
DynamicPlayer (x): b3 (2.513s)
OurPlayer (o): c2 (5.091s)
DynamicPlayer (x): d5 (5.635s)
OurPlayer (o): a3 (4.985s)
DynamicPlayer (x): c1 (5.428s)
OurPlayer (o): d1 (4.948s)
DynamicPlayer (x): c6 (5.346s)
OurPlayer (o): e3 (4.790s)
DynamicPlayer (x): b2 (11.232s)
OurPlayer (o): d6 (4.679s)
DynamicPlayer (x): b4 (9.155s)
OurPlayer (o): b6 (4.546s)
DynamicPlayer (x): e4 (1.533s)
OurPlayer (o): a2 (4.399s)
DynamicPlayer (x): f3 (0.335s)
OurPlayer (o): b5 (0.005s)
DynamicPlayer (x): a1 (0.249s)
OurPlayer (o): d2 (0.005s)
DynamicPlayer (x): e5 (0.019s)
OurPlayer (o): f2 (0.000s)
DynamicPlayer (x): f1 (0.005s)
OurPlayer (o): f6 (0.000s)
DynamicPlayer (x): e6 (0.003s)
OurPlayer (o): f4 (0.000s)
DynamicPlayer (x): e1 (0.001s)
OurPlayer (o): e2 (0.000s)
DynamicPlayer (x): a6 (0.000s)
OurPlayer (o): .. (0.000s)
DynamicPlayer (x): f5 (0.000s)
対局終了 スコア: -15
--------------------------------------------------
================================================
