================================================
=== 対戦ログ開始 (1ラウンド) ===
OurPlayer (x): d2 (0.417s)
DynamicPlayer (o): e5 (0.821s)
OurPlayer (x): f3 (0.127s)
DynamicPlayer (o): f4 (0.156s)
OurPlayer (x): e4 (0.001s)
DynamicPlayer (o): f6 (0.025s)
OurPlayer (x): b5 (0.000s)
DynamicPlayer (o): d1 (0.006s)
OurPlayer (x): f5 (0.001s)
DynamicPlayer (o): a6 (0.001s)
OurPlayer (x): b1 (0.001s)
DynamicPlayer (o): c1 (0.000s)
OurPlayer (x): b6 (0.000s)
DynamicPlayer (o): a1 (0.000s)
対局終了 スコア: 1
--------------------------------------------------
R1-変形盤2-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): b4 (5.235s)
DynamicPlayer (x): d5 (3.677s)
OurPlayer (o): e2 (5.103s)
DynamicPlayer (x): a4 (2.946s)
OurPlayer (o): d6 (5.042s)
DynamicPlayer (x): c2 (2.400s)
OurPlayer (o): b3 (4.954s)
DynamicPlayer (x): e4 (4.779s)
OurPlayer (o): c5 (4.775s)
DynamicPlayer (x): a3 (14.097s)
OurPlayer (o): f4 (4.684s)
DynamicPlayer (x): c6 (3.780s)
OurPlayer (o): b6 (4.534s)
DynamicPlayer (x): f5 (1.462s)
OurPlayer (o): f6 (4.414s)
DynamicPlayer (x): e5 (0.855s)
OurPlayer (o): b5 (0.342s)
DynamicPlayer (x): e6 (0.397s)
OurPlayer (o): f3 (0.072s)
DynamicPlayer (x): a6 (0.073s)
OurPlayer (o): c1 (0.000s)
DynamicPlayer (x): b2 (0.024s)
OurPlayer (o): e3 (0.002s)
DynamicPlayer (x): f2 (0.001s)
OurPlayer (o): d2 (0.000s)
DynamicPlayer (x): e1 (0.001s)
OurPlayer (o): a1 (0.000s)
DynamicPlayer (x): b1 (0.000s)
OurPlayer (o): d1 (0.000s)
対局終了 スコア: -3
--------------------------------------------------
================================================
