================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (7.442s)
OurPlayer (x): e4 (4.929s)
DynamicPlayer (o): c5 (6.835s)
OurPlayer (x): d1 (4.953s)
DynamicPlayer (o): e2 (6.470s)
OurPlayer (x): b4 (4.852s)
DynamicPlayer (o): b3 (5.768s)
OurPlayer (x): c6 (4.693s)
DynamicPlayer (o): e1 (5.335s)
OurPlayer (x): c2 (4.561s)
DynamicPlayer (o): a5 (4.838s)
OurPlayer (x): a3 (4.513s)
DynamicPlayer (o): c1 (4.364s)
OurPlayer (x): f1 (4.309s)
DynamicPlayer (o): f3 (3.778s)
OurPlayer (x): b1 (4.184s)
DynamicPlayer (o): b2 (2.251s)
OurPlayer (x): e3 (4.025s)
DynamicPlayer (o): f2 (1.431s)
OurPlayer (x): f4 (0.047s)
DynamicPlayer (o): d5 (1.050s)
OurPlayer (x): d6 (0.000s)
DynamicPlayer (o): e5 (0.241s)
OurPlayer (x): f5 (0.010s)
DynamicPlayer (o): a4 (0.057s)
OurPlayer (x): a6 (0.000s)
DynamicPlayer (o): b6 (0.006s)
OurPlayer (x): a1 (0.001s)
DynamicPlayer (o): a2 (0.001s)
OurPlayer (x): b5 (0.000s)
DynamicPlayer (o): e6 (0.001s)
OurPlayer (x): f6 (0.000s)
対局終了 スコア: -20
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.734s)
DynamicPlayer (x): e4 (0.000s)
OurPlayer (o): c5 (4.575s)
DynamicPlayer (x): d1 (8.378s)
OurPlayer (o): f4 (4.486s)
DynamicPlayer (x): b3 (7.693s)
OurPlayer (o): c2 (4.421s)
DynamicPlayer (x): b4 (7.110s)
OurPlayer (o): a3 (4.383s)
DynamicPlayer (x): a5 (6.349s)
OurPlayer (o): b2 (4.338s)
DynamicPlayer (x): d5 (5.739s)
OurPlayer (o): e3 (4.218s)
DynamicPlayer (x): a4 (5.144s)
OurPlayer (o): a6 (4.023s)
DynamicPlayer (x): c6 (4.459s)
OurPlayer (o): b6 (3.899s)
DynamicPlayer (x): b5 (3.780s)
OurPlayer (o): b1 (2.338s)
DynamicPlayer (x): c1 (1.193s)
OurPlayer (o): e1 (0.063s)
DynamicPlayer (x): f3 (0.403s)
OurPlayer (o): e2 (0.000s)
DynamicPlayer (x): a1 (0.145s)
OurPlayer (o): a2 (0.017s)
DynamicPlayer (x): e5 (0.017s)
OurPlayer (o): f6 (0.003s)
DynamicPlayer (x): e6 (0.005s)
OurPlayer (o): f2 (0.000s)
