================================================
=== 対戦ログ開始 (1ラウンド) ===
OurPlayer (x): b6 (0.007s)
DynamicPlayer (o): e2 (0.023s)
OurPlayer (x): f1 (0.000s)
DynamicPlayer (o): e5 (0.008s)
OurPlayer (x): b1 (0.000s)
DynamicPlayer (o): a1 (0.001s)
OurPlayer (x): a2 (0.000s)
DynamicPlayer (o): a3 (0.000s)
OurPlayer (x): f6 (0.000s)
DynamicPlayer (o): e6 (0.000s)
対局終了 スコア: -1
--------------------------------------------------
R1-変形盤2-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): c5 (5.093s)
DynamicPlayer (x): d5 (0.774s)
OurPlayer (o): e3 (4.810s)
DynamicPlayer (x): d2 (0.933s)
OurPlayer (o): c1 (4.757s)
DynamicPlayer (x): d1 (2.874s)
OurPlayer (o): e1 (4.709s)
DynamicPlayer (x): b4 (2.384s)
OurPlayer (o): d6 (4.548s)
DynamicPlayer (x): e2 (1.882s)
OurPlayer (o): a3 (4.410s)
DynamicPlayer (x): f3 (1.019s)
OurPlayer (o): b3 (4.342s)
DynamicPlayer (x): b5 (0.410s)
OurPlayer (o): a5 (4.181s)
DynamicPlayer (x): a6 (0.233s)
OurPlayer (o): b6 (3.615s)
DynamicPlayer (x): c6 (0.339s)
OurPlayer (o): f1 (0.004s)
DynamicPlayer (x): e4 (0.184s)
OurPlayer (o): f2 (0.013s)
DynamicPlayer (x): e6 (0.063s)
OurPlayer (o): f4 (0.012s)
DynamicPlayer (x): b2 (0.004s)
OurPlayer (o): a1 (0.000s)
DynamicPlayer (x): b1 (0.001s)
OurPlayer (o): a2 (0.000s)
DynamicPlayer (x): c2 (0.000s)
OurPlayer (o): e5 (0.001s)
DynamicPlayer (x): f6 (0.000s)
OurPlayer (o): f5 (0.000s)
対局終了 スコア: 9
--------------------------------------------------
================================================
