================================================
=== 対戦ログ開始 (1ラウンド) ===
OurPlayer (x): e5 (0.167s)
DynamicPlayer (o): b6 (0.278s)
OurPlayer (x): a5 (0.018s)
DynamicPlayer (o): a6 (0.042s)
OurPlayer (x): f2 (0.000s)
DynamicPlayer (o): e6 (0.007s)
OurPlayer (x): f5 (0.001s)
DynamicPlayer (o): f4 (0.000s)
OurPlayer (x): f6 (0.000s)
DynamicPlayer (o): a2 (0.001s)
OurPlayer (x): b2 (0.000s)
対局終了 スコア: 4
--------------------------------------------------
R1-変形盤2-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.938s)
DynamicPlayer (x): e2 (0.001s)
OurPlayer (o): e3 (4.999s)
DynamicPlayer (x): e4 (6.755s)
OurPlayer (o): c5 (4.859s)
DynamicPlayer (x): d1 (24.518s)
OurPlayer (o): f4 (4.728s)
DynamicPlayer (x): d5 (11.326s)
OurPlayer (o): f1 (4.656s)
DynamicPlayer (x): b2 (40.164s)
OurPlayer (o): d6 (4.461s)
DynamicPlayer (x): e5 (18.663s)
OurPlayer (o): f3 (4.319s)
DynamicPlayer (x): b6 (10.002s)
OurPlayer (o): b5 (4.150s)
DynamicPlayer (x): e1 (3.736s)
OurPlayer (o): c2 (3.995s)
DynamicPlayer (x): a6 (3.653s)
OurPlayer (o): f2 (1.686s)
DynamicPlayer (x): b4 (1.148s)
OurPlayer (o): c1 (0.251s)
DynamicPlayer (x): e6 (0.184s)
OurPlayer (o): f6 (0.033s)
DynamicPlayer (x): b1 (0.026s)
OurPlayer (o): a1 (0.006s)
DynamicPlayer (x): f5 (0.004s)
OurPlayer (o): a4 (0.001s)
DynamicPlayer (x): b3 (0.000s)
OurPlayer (o): a2 (0.000s)
DynamicPlayer (x): c6 (0.000s)
OurPlayer (o): a5 (0.000s)
対局終了 スコア: 11
--------------------------------------------------
================================================
