================================================
=== 対戦ログ開始 (1ラウンド) ===
DynamicPlayer (o): f3 (0.988s)
OurPlayer (x): a1 (0.045s)
DynamicPlayer (o): f5 (0.073s)
OurPlayer (x): e6 (0.003s)
DynamicPlayer (o): f6 (0.017s)
OurPlayer (x): a6 (0.000s)
DynamicPlayer (o): .. (0.000s)
OurPlayer (x): e2 (0.000s)
対局終了 スコア: -11
--------------------------------------------------
R1-変形盤2-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): b4 (5.263s)
DynamicPlayer (x): d5 (0.000s)
OurPlayer (o): e3 (5.216s)
DynamicPlayer (x): a4 (9.060s)
OurPlayer (o): d6 (4.984s)
DynamicPlayer (x): c2 (6.178s)
OurPlayer (o): b3 (5.005s)
DynamicPlayer (x): d2 (4.402s)
OurPlayer (o): d1 (4.846s)
DynamicPlayer (x): a3 (4.867s)
OurPlayer (o): b2 (4.676s)
DynamicPlayer (x): f3 (3.226s)
OurPlayer (o): e4 (4.518s)
DynamicPlayer (x): c6 (3.942s)
OurPlayer (o): b6 (4.373s)
DynamicPlayer (x): c5 (1.616s)
OurPlayer (o): b5 (0.027s)
DynamicPlayer (x): a2 (0.121s)
OurPlayer (o): f4 (0.000s)
DynamicPlayer (x): a1 (0.066s)
OurPlayer (o): f2 (0.002s)
DynamicPlayer (x): e5 (0.008s)
OurPlayer (o): e6 (0.000s)
DynamicPlayer (x): f6 (0.005s)
OurPlayer (o): f5 (0.000s)
DynamicPlayer (x): f1 (0.002s)
OurPlayer (o): .. (0.000s)
DynamicPlayer (x): e1 (0.000s)
OurPlayer (o): e2 (0.000s)
DynamicPlayer (x): a6 (0.000s)
対局終了 スコア: -17
--------------------------------------------------
================================================
