================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (4.250s)
OurPlayer (x): e4 (5.244s)
DynamicPlayer (o): f5 (4.329s)
OurPlayer (x): d1 (4.941s)
DynamicPlayer (o): e3 (4.984s)
OurPlayer (x): c2 (4.780s)
DynamicPlayer (o): d5 (8.673s)
OurPlayer (x): f3 (4.614s)
DynamicPlayer (o): b1 (12.112s)
OurPlayer (x): b3 (4.604s)
DynamicPlayer (o): a3 (9.162s)
OurPlayer (x): b4 (4.466s)
DynamicPlayer (o): a4 (3.717s)
OurPlayer (x): c5 (4.299s)
DynamicPlayer (o): b5 (2.431s)
OurPlayer (x): f4 (4.173s)
DynamicPlayer (o): f2 (1.190s)
OurPlayer (x): d6 (4.006s)
DynamicPlayer (o): c6 (0.305s)
OurPlayer (x): a6 (0.059s)
DynamicPlayer (o): b6 (0.096s)
OurPlayer (x): a5 (0.020s)
DynamicPlayer (o): c1 (0.074s)
OurPlayer (x): a1 (0.000s)
DynamicPlayer (o): e5 (0.010s)
OurPlayer (x): a2 (0.003s)
DynamicPlayer (o): e6 (0.001s)
OurPlayer (x): f6 (0.000s)
DynamicPlayer (o): e2 (0.000s)
OurPlayer (x): f1 (0.000s)
DynamicPlayer (o): e1 (0.000s)
OurPlayer (x): b2 (0.000s)
対局終了 スコア: -26
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.844s)
DynamicPlayer (x): c2 (2.148s)
OurPlayer (o): b4 (4.649s)
DynamicPlayer (x): c5 (5.001s)
OurPlayer (o): d6 (4.685s)
DynamicPlayer (x): c6 (7.750s)
OurPlayer (o): b6 (4.483s)
DynamicPlayer (x): a4 (5.456s)
OurPlayer (o): c1 (4.400s)
DynamicPlayer (x): e1 (4.167s)
OurPlayer (o): b3 (4.186s)
DynamicPlayer (x): d5 (8.461s)
OurPlayer (o): e2 (4.089s)
DynamicPlayer (x): a2 (11.439s)
OurPlayer (o): a3 (3.964s)
DynamicPlayer (x): f1 (1.577s)
OurPlayer (o): a1 (3.840s)
DynamicPlayer (x): b5 (6.822s)
OurPlayer (o): a5 (1.791s)
DynamicPlayer (x): d1 (0.660s)
OurPlayer (o): e6 (0.001s)
DynamicPlayer (x): b2 (0.147s)
OurPlayer (o): a6 (0.001s)
DynamicPlayer (x): b1 (0.019s)
OurPlayer (o): e3 (0.000s)
DynamicPlayer (x): f4 (0.004s)
OurPlayer (o): f2 (0.001s)
DynamicPlayer (x): f3 (0.000s)
OurPlayer (o): .. (0.000s)
