================================================
=== 対戦ログ開始 (1ラウンド) ===
DynamicPlayer (o): f5 (0.084s)
OurPlayer (x): b5 (0.000s)
DynamicPlayer (o): c5 (0.020s)
OurPlayer (x): c6 (0.000s)
DynamicPlayer (o): e6 (0.004s)
OurPlayer (x): f6 (0.001s)
DynamicPlayer (o): f1 (0.001s)
OurPlayer (x): e1 (0.000s)
DynamicPlayer (o): a6 (0.001s)
OurPlayer (x): b6 (0.000s)
DynamicPlayer (o): .. (0.000s)
OurPlayer (x): e5 (0.000s)
対局終了 スコア: -13
--------------------------------------------------
R1-変形盤2-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): b4 (4.895s)
DynamicPlayer (x): b5 (0.000s)
OurPlayer (o): c5 (4.819s)
DynamicPlayer (x): d5 (7.756s)
OurPlayer (o): d6 (4.715s)
DynamicPlayer (x): a4 (5.589s)
OurPlayer (o): d2 (4.658s)
DynamicPlayer (x): c2 (12.453s)
OurPlayer (o): c1 (4.666s)
DynamicPlayer (x): e4 (6.172s)
OurPlayer (o): a6 (4.508s)
DynamicPlayer (x): d1 (16.100s)
OurPlayer (o): f4 (4.360s)
DynamicPlayer (x): b1 (6.758s)
OurPlayer (o): e3 (4.177s)
DynamicPlayer (x): c6 (1.613s)
OurPlayer (o): b2 (4.034s)
DynamicPlayer (x): f2 (2.078s)
OurPlayer (o): e5 (0.009s)
DynamicPlayer (x): a3 (0.706s)
OurPlayer (o): a1 (0.002s)
DynamicPlayer (x): a2 (0.171s)
OurPlayer (o): b3 (0.001s)
DynamicPlayer (x): f6 (0.023s)
OurPlayer (o): b6 (0.001s)
DynamicPlayer (x): f5 (0.001s)
OurPlayer (o): f3 (0.000s)
DynamicPlayer (x): e6 (0.000s)
OurPlayer (o): e1 (0.000s)
DynamicPlayer (x): e2 (0.000s)
OurPlayer (o): f1 (0.000s)
対局終了 スコア: 3
--------------------------------------------------
================================================
