================================================
=== 対戦ログ開始 (1ラウンド) ===
DynamicPlayer (o): a6 (1.947s)
OurPlayer (x): f5 (0.063s)
DynamicPlayer (o): d2 (0.283s)
OurPlayer (x): e3 (0.000s)
DynamicPlayer (o): b2 (0.035s)
OurPlayer (x): c1 (0.004s)
DynamicPlayer (o): f6 (0.008s)
OurPlayer (x): .. (0.000s)
DynamicPlayer (o): f2 (0.004s)
OurPlayer (x): e2 (0.000s)
DynamicPlayer (o): f1 (0.001s)
OurPlayer (x): e1 (0.000s)
DynamicPlayer (o): d1 (0.000s)
対局終了 スコア: 22
--------------------------------------------------
R1-変形盤2-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): e3 (5.034s)
DynamicPlayer (x): c2 (0.000s)
OurPlayer (o): b1 (4.863s)
DynamicPlayer (x): e4 (9.063s)
OurPlayer (o): c5 (4.807s)
DynamicPlayer (x): b4 (8.213s)
OurPlayer (o): d5 (4.751s)
DynamicPlayer (x): d2 (7.566s)
OurPlayer (o): f4 (4.539s)
DynamicPlayer (x): f3 (6.721s)
OurPlayer (o): f2 (4.495s)
DynamicPlayer (x): d6 (5.960s)
OurPlayer (o): c1 (4.282s)
DynamicPlayer (x): d1 (4.099s)
OurPlayer (o): e1 (4.167s)
DynamicPlayer (x): b2 (1.707s)
OurPlayer (o): a3 (0.382s)
DynamicPlayer (x): a2 (0.401s)
OurPlayer (o): b3 (0.034s)
DynamicPlayer (x): e2 (0.170s)
OurPlayer (o): a4 (0.014s)
DynamicPlayer (x): b5 (0.043s)
OurPlayer (o): e6 (0.001s)
DynamicPlayer (x): f6 (0.020s)
OurPlayer (o): f1 (0.000s)
DynamicPlayer (x): e5 (0.002s)
OurPlayer (o): a6 (0.000s)
DynamicPlayer (x): .. (0.000s)
OurPlayer (o): f5 (0.000s)
対局終了 スコア: 22
--------------------------------------------------
================================================
