================================================
=== 対戦ログ開始 (1ラウンド) ===
OurPlayer (x): b2 (0.726s)
DynamicPlayer (o): e2 (0.396s)
OurPlayer (x): f2 (0.002s)
DynamicPlayer (o): f1 (0.058s)
OurPlayer (x): b6 (0.000s)
DynamicPlayer (o): a5 (0.060s)
OurPlayer (x): .. (0.000s)
DynamicPlayer (o): e6 (0.055s)
OurPlayer (x): d6 (0.004s)
DynamicPlayer (o): a6 (0.003s)
OurPlayer (x): .. (0.000s)
DynamicPlayer (o): a1 (0.001s)
OurPlayer (x): .. (0.000s)
DynamicPlayer (o): f4 (0.000s)
OurPlayer (x): f5 (0.000s)
DynamicPlayer (o): f6 (0.000s)
OurPlayer (x): .. (0.000s)
DynamicPlayer (o): e5 (0.000s)
対局終了 スコア: 27
--------------------------------------------------
R1-変形盤2-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): e3 (5.186s)
DynamicPlayer (x): e4 (1.065s)
OurPlayer (o): c5 (5.301s)
DynamicPlayer (x): c2 (0.574s)
OurPlayer (o): f4 (5.152s)
DynamicPlayer (x): d5 (2.659s)
OurPlayer (o): b1 (4.905s)
DynamicPlayer (x): f3 (1.215s)
OurPlayer (o): f2 (4.786s)
DynamicPlayer (x): b2 (1.795s)
OurPlayer (o): d6 (4.678s)
DynamicPlayer (x): e5 (0.835s)
OurPlayer (o): a2 (4.540s)
DynamicPlayer (x): a1 (0.463s)
OurPlayer (o): b3 (2.918s)
DynamicPlayer (x): c6 (0.137s)
OurPlayer (o): b6 (0.000s)
DynamicPlayer (x): d2 (0.082s)
OurPlayer (o): e1 (0.001s)
DynamicPlayer (x): b5 (0.029s)
OurPlayer (o): a4 (0.004s)
DynamicPlayer (x): a6 (0.003s)
OurPlayer (o): f5 (0.001s)
DynamicPlayer (x): e6 (0.000s)
OurPlayer (o): f6 (0.000s)
DynamicPlayer (x): e2 (0.000s)
OurPlayer (o): a5 (0.000s)
DynamicPlayer (x): b4 (0.000s)
対局終了 スコア: 4
--------------------------------------------------
================================================
