================================================
=== 対戦ログ開始 (1ラウンド) ===
DynamicPlayer (o): a3 (0.543s)
OurPlayer (x): b6 (0.000s)
DynamicPlayer (o): f6 (0.321s)
OurPlayer (x): .. (0.000s)
DynamicPlayer (o): e2 (0.150s)
OurPlayer (x): f3 (0.002s)
DynamicPlayer (o): e1 (0.026s)
OurPlayer (x): .. (0.000s)
DynamicPlayer (o): e5 (0.007s)
OurPlayer (x): .. (0.000s)
DynamicPlayer (o): f4 (0.001s)
OurPlayer (x): f5 (0.000s)
DynamicPlayer (o): f2 (0.001s)
対局終了 スコア: 36
--------------------------------------------------
R1-変形盤2-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): b4 (5.247s)
DynamicPlayer (x): d5 (0.000s)
OurPlayer (o): e2 (5.164s)
DynamicPlayer (x): d2 (8.967s)
OurPlayer (o): e1 (5.128s)
DynamicPlayer (x): b3 (8.202s)
OurPlayer (o): d6 (5.005s)
DynamicPlayer (x): e4 (7.467s)
OurPlayer (o): f4 (4.765s)
DynamicPlayer (x): e3 (6.706s)
OurPlayer (o): c2 (4.652s)
DynamicPlayer (x): c5 (5.994s)
OurPlayer (o): e5 (4.530s)
DynamicPlayer (x): c1 (4.826s)
OurPlayer (o): a2 (4.379s)
DynamicPlayer (x): f2 (3.834s)
OurPlayer (o): b2 (0.531s)
DynamicPlayer (x): a5 (1.377s)
OurPlayer (o): d1 (0.000s)
DynamicPlayer (x): f6 (0.433s)
OurPlayer (o): c6 (0.000s)
DynamicPlayer (x): b5 (0.077s)
OurPlayer (o): f3 (0.001s)
DynamicPlayer (x): a3 (0.008s)
OurPlayer (o): a4 (0.000s)
DynamicPlayer (x): f5 (0.001s)
OurPlayer (o): a6 (0.000s)
DynamicPlayer (x): b6 (0.000s)
OurPlayer (o): e6 (0.000s)
対局終了 スコア: 9
--------------------------------------------------
================================================
